Time,Hari 1 - FO,Hari 2 - FO,Hari 3 - FO,Hari 1 - Wireless,Hari 2  - Wireless,Hari 3  - Wireless
2023-07-07 9:09:33,26.88,27.34,25.3,40.67,26.2,40.01
2023-07-07 9:09:35,28.16,33.98,47.51,29.79,131.88,30.56
2023-07-07 9:09:38,29.68,30.76,27.69,28.76,27.08,29.6
2023-07-07 9:09:40,27.64,27.22,26.22,29.47,25.82,37.37
2023-07-07 9:09:43,24.53,26.38,26.29,38.06,116.69,35.39
2023-07-07 9:09:45,25.17,25.35,26.74,33.32,28.89,53.46
2023-07-07 9:09:48,24.88,25.34,30.52,27.26,31.63,37.6
2023-07-07 9:09:50,24.78,79.81,59.25,31.97,29.33,39.44
2023-07-07 9:09:53,24.4,46.74,26.49,26.88,26.15,44.99
2023-07-07 9:09:55,33.94,27.62,46.3,27.45,33.29,34.17
2023-07-07 9:09:58,46.05,63.85,26.66,27.72,35.43,31.8
2023-07-07 9:10:00,27.85,34.76,25.09,33.61,45.28,31.62
2023-07-07 9:10:03,31.15,83.55,43.45,27.15,30.65,29.68
2023-07-07 9:10:05,26.68,61.6,98.6,29.68,42.21,32.23
2023-07-07 9:10:08,25.32,80.04,94.6,26.66,38.08,34.86
2023-07-07 9:10:10,25.36,30.77,27.95,27.2,65.72,37.03
2023-07-07 9:10:13,44.63,25.41,32.37,28.06,39.15,38.15
2023-07-07 9:10:15,27,25.59,46.22,28.28,34.68,40.33
2023-07-07 9:10:18,28.68,29.47,27.6,27.43,44.91,59.49
2023-07-07 9:10:20,38.03,26.16,28.04,30.15,29.98,35.67
2023-07-07 9:10:23,24.57,66.48,35.97,29.14,75.31,25.99
2023-07-07 9:10:25,25.18,27.66,26.06,26.57,30.04,31.48
2023-07-07 9:10:28,35.66,26.76,27.94,27.61,61.81,76.7
2023-07-07 9:10:30,35.96,26.49,25.55,30.25,37.33,44.25
2023-07-07 9:10:33,25.36,25.49,33.51,46.76,416.6,39.12
2023-07-07 9:10:35,41.2,26.57,47.06,34.7,50.18,33.42
2023-07-07 9:10:38,26.36,28.28,27.48,70.7,178,32.07
2023-07-07 9:10:40,25.8,24.31,29.05,31.99,29.91,69.02
2023-07-07 9:10:43,27.11,62,27.43,26.7,34.41,25.47
2023-07-07 9:10:45,30.55,24.43,26.12,31.76,52.61,28.38
2023-07-07 9:10:48,25.76,27.27,25.37,28.35,29.08,62.77
2023-07-07 9:10:50,24.72,25.91,25.97,34.72,61.33,29.39
2023-07-07 9:10:53,25.84,29.39,26.98,26.08,36.36,28.66
2023-07-07 9:10:55,25.04,26.63,26.38,49.68,65.18,30.94
2023-07-07 9:10:58,34.63,54.97,28.66,135.28,96.69,24.3
2023-07-07 9:11:00,25.12,26.38,25.79,40.83,,26.21
2023-07-07 9:11:03,24.88,64.87,43.78,104.99,41.97,71.65
2023-07-07 9:11:05,26.45,55.75,26.96,317.9,26.69,28.54
2023-07-07 9:11:08,24.31,58.45,26.06,80.02,33.71,29.54
2023-07-07 9:11:10,82.54,30.76,26.52,34.45,36.63,35.7
2023-07-07 9:11:13,26.63,25.5,27.27,36.69,43.75,26.18
2023-07-07 9:11:15,32.31,25.32,30.79,31.74,178.8,30.14
2023-07-07 9:11:18,24.84,35.93,25.69,38.93,222.04,26.55
2023-07-07 9:11:20,24.71,41.83,25.81,76.01,36.58,39.82
2023-07-07 9:11:23,86.8,43.88,25.91,27.04,35.26,26.53
2023-07-07 9:11:25,27.25,56.28,26.93,58.66,152.3,56
2023-07-07 9:11:28,140.68,26.09,134.12,27.82,40.88,39.11
2023-07-07 9:11:30,27.46,52.72,28.08,41.29,28.16,81.86
2023-07-07 9:11:33,40.45,54.82,26.07,37,32.76,61.49
2023-07-07 9:11:35,28.06,27.44,25.87,67,,27.79
2023-07-07 9:11:38,24.3,26.13,25.84,26.62,25.98,51.07
2023-07-07 9:11:40,26.28,47.47,147.21,27.35,176.83,29.8
2023-07-07 9:11:43,26.42,26.42,27.3,29.49,29.01,26.85
2023-07-07 9:11:45,,26.45,25.94,29.44,134.85,26.8
2023-07-07 9:11:48,126.95,38.9,25.78,33.82,33.06,25.57
2023-07-07 9:11:50,66.23,27.48,25.55,90.17,279.21,31.71
2023-07-07 9:11:53,27.27,24.01,44.08,32.06,,29.35
2023-07-07 9:11:55,26.97,73.08,26.95,277.96,70,34.79
2023-07-07 9:11:58,26.58,25.38,27.47,27.38,53.1,34.48
2023-07-07 9:12:00,26.5,31.17,26.62,75.42,32.17,60.89
2023-07-07 9:12:03,25.03,30.56,26.57,46.43,38.72,29.81
2023-07-07 9:12:05,24.52,67.28,33.56,59.2,25.4,36.22
2023-07-07 9:12:08,29.48,3.3,25.84,80.33,32.55,27.42
2023-07-07 9:12:10,34.92,,25.74,51.92,25.66,35.75
2023-07-07 9:12:13,29.87,27.96,27.91,29.59,31.13,28.64
2023-07-07 9:12:15,48.93,41.22,76.41,36.72,25.97,27.62
2023-07-07 9:12:18,71.78,26.47,58.52,35.97,60.36,31.71
2023-07-07 9:12:20,26.28,27.94,28.88,34.57,76.83,32.1
2023-07-07 9:12:23,70.79,26.12,50,35.79,26.49,39.62
2023-07-07 9:12:25,24.28,28.89,28.85,27.96,31.2,28.2
2023-07-07 9:12:28,32.42,35.43,26.03,43.16,25.6,30.26
2023-07-07 9:12:30,25.61,26.43,39.51,50.24,25.9,60.35
2023-07-07 9:12:33,63.7,25.35,89.59,45.53,211.35,46.6
2023-07-07 9:12:35,26.12,26.79,34.8,29.64,27.32,31.74
2023-07-07 9:12:38,50.5,74.41,32.24,43.34,26.36,30.47
2023-07-07 9:12:40,24.79,26.18,35.68,32.15,32.5,46.24
2023-07-07 9:12:43,24.2,28.88,28.41,28.31,32.96,29.99
2023-07-07 9:12:45,35.17,24.97,27.81,41.89,27.33,26.07
2023-07-07 9:12:48,29.28,64.89,28.72,50.64,30.73,30.28
2023-07-07 9:12:50,24.71,25.35,32.66,41.48,98.51,31.83
2023-07-07 9:12:53,26.61,27.31,26.74,30.36,25.79,30.08
2023-07-07 9:12:55,25.03,26.73,28,45.84,25.69,24.61
2023-07-07 9:12:58,25.21,28.85,26.26,32.93,27.78,31.94
2023-07-07 9:13:00,24.62,26.16,43.16,30.32,26.76,33.38
2023-07-07 9:13:03,24.25,89.24,27.28,58.04,26.57,31.3
2023-07-07 9:13:05,24.62,26.42,31.2,27.34,30.63,26.76
2023-07-07 9:13:08,28.91,25.98,32.14,29.75,34.02,33.46
2023-07-07 9:13:10,92.9,26.42,62.65,29.59,26.29,41.21
2023-07-07 9:13:13,58.03,,62.65,32.05,,36.99
2023-07-07 9:13:15,45.54,,,60,,
2023-07-07 9:13:18,25.19,,,28.83,,
