﻿Host Information
1,gpon.net,192.168.1.1
2,172.16.240.1,172.16.240.1
3,ip-78.120.40.jogjaringan.net.id,103.40.120.78
4,ip-5.120.40.jogjaringan.net.id,103.40.120.5
5,ip-253.135.101.terabit.net.id,121.101.135.253
6,202.37.120.4,202.37.120.4
7,host-202-43-92-46.ugm.ac.id,202.43.92.46
8,ugm.ac.id,175.111.88.3
Sample Information
2023-07-07T09:54:15,2.11,3.38,2.73,2.87,3.31,6.25,5.55,7.73
2023-07-07T09:54:18,2.22,2.61,2.94,6.35,3.90,7.80,8.04,2.96
2023-07-07T09:54:20,1.90,9.39,3.31,2.80,7.05,6.12,9.35,3.05
2023-07-07T09:54:23,10.41,2.42,3.08,46.98,3.59,1.62,3.13,3.28
2023-07-07T09:54:25,3.06,2.93,6.08,2.16,2.90,2.54,4.53,3.83
2023-07-07T09:54:28,19.95,6.99,14.78,3.60,18.18,5.20,3.60,9.44
2023-07-07T09:54:30,2.25,3.11,2.31,3.40,2.62,3.19,4.43,5.28
2023-07-07T09:54:33,2.11,2.92,3.80,2.90,4.94,3.33,2.67,3.11
2023-07-07T09:54:35,2.10,5.91,4.66,4.23,2.60,6.06,2.72,5.13
2023-07-07T09:54:38,1.86,3.46,2.99,2.97,3.24,8.97,12.80,4.12
2023-07-07T09:54:40,12.76,27.51,13.94,16.37,24.44,7.76,3.36,30.70
2023-07-07T09:54:43,2.12,3.07,2.97,10.03,3.13,10.53,2.54,10.56
2023-07-07T09:54:45,12.79,27.11,107.46,63.26,22.43,2.66,7.07,10.03
2023-07-07T09:54:48,1.81,2.66,16.78,2.71,3.06,2.97,2.61,3.12
2023-07-07T09:54:50,1.81,4.65,2.98,4.22,2.35,2.97,7.15,2.62
2023-07-07T09:54:53,2.22,2.87,3.14,3.31,3.56,6.25,2.76,20.93
2023-07-07T09:54:55,1.91,3.23,3.35,3.06,3.13,9.23,3.04,4.27
2023-07-07T09:54:58,1.99,4.58,4.54,3.46,3.38,19.48,28.86,11.38
2023-07-07T09:55:00,1.99,2.89,2.49,2.53,7.88,4.43,3.59,3.85
2023-07-07T09:55:03,4.52,3.74,3.26,6.10,6.58,7.62,6.64,5.57
2023-07-07T09:55:05,15.47,4.89,18.82,5.76,11.86,16.02,31.59,32.97
2023-07-07T09:55:08,40.97,3.25,2.47,2.71,2.66,2.86,3.92,89.97
2023-07-07T09:55:10,1.98,12.07,14.70,3.15,2.63,2.66,3.22,4.54
2023-07-07T09:55:13,2.50,4.99,2.63,20.39,3.35,6.73,3.56,3.73
2023-07-07T09:55:15,40.08,10.06,3.82,12.98,59.25,11.36,34.09,89.65
2023-07-07T09:55:18,2.95,28.56,2.58,3.05,5.24,3.15,4.95,13.14
2023-07-07T09:55:20,2.06,9.86,3.19,2.84,3.65,2.72,3.68,5.30
2023-07-07T09:55:23,1.32,11.53,2.08,1.60,4.71,2.92,3.35,40.50
2023-07-07T09:55:25,1.96,2.63,10.38,52.83,8.73,6.08,2.22,49.69
2023-07-07T09:55:28,2.85,10.79,4.50,3.18,5.50,3.70,10.58,33.06
2023-07-07T09:55:30,2.21,12.30,2.42,4.63,3.07,2.88,3.50,14.30
2023-07-07T09:55:33,32.45,3.03,2.50,3.39,3.23,4.69,3.76,81.15
2023-07-07T09:55:35,9.09,2.49,8.11,51.77,9.41,11.45,8.54,3.58
2023-07-07T09:55:38,3.17,5.64,2.62,2.99,4.58,3.39,3.17,14.21
2023-07-07T09:55:40,51.16,12.25,15.39,31.62,4.70,19.64,42.39,86.64
2023-07-07T09:55:43,2.07,6.43,2.56,9.46,10.91,4.46,3.18,3.28
2023-07-07T09:55:45,25.39,3.47,5.91,14.92,5.92,5.73,3.93,3.82
2023-07-07T09:55:48,12.76,3.59,4.48,2.25,5.66,5.77,5.75,51.80
2023-07-07T09:55:50,68.72,17.90,3.47,25.96,6.01,6.94,5.37,119.09
2023-07-07T09:55:53,9.54,3.39,2.61,34.69,37.45,7.16,5.23,4.66
